"data_type_code";"version_id";"description";"length";"anchor";"owl_gen"
"CQ";61;"Composite Quantity with Units";;"ch02a.html#Heading82";0
"CQ";81;"Composite Quantity with Units";;"ch02a.html#Heading95";0
"CQ";91;"Composite Quantity with Units";;"ch02a.html#Heading105";0
"CQ";92;"Composite Quantity with Units";;"ch02a.html#Heading105";0
"CSU";4;"channel sensitivity units";;;0
"CSU";5;"channel sensitivity units";;;0
"CSU";6;"Channel Sensitivity";;"ch02A.html#Heading86";0
"CSU";7;"Channel Sensitivity and Units";;"ch02a.html#Heading80";0
"CSU";8;"Channel Sensitivity and Units";;"ch02a.html#Heading109";0
"CSU";9;"Channel Sensitivity and Units";;"ch02a.html#Heading109";0
"CSU";10;"CSU";;"ch02A.html#Heading418";0
"CSU";60;"Channel Sensitivity";;"ch02A.html#Heading86";0
"CSU";61;"Channel Sensitivity";;"ch02a.html#Heading86";0
"CSU";81;"Channel Sensitivity and Units";;"ch02a.html#Heading98";0
"CSU";91;"Channel Sensitivity and Units";;"ch02a.html#Heading109";0
"CSU";92;"Channel Sensitivity and Units";;"ch02a.html#Heading109";0
"CWE";4;"Coded with exceptions";0;"ch2fin.html#Heading73";0
"CWE";5;"Coded with exceptions";;;0
"CWE";6;"Coded with Exceptions";;"ch02A.html#Heading95";0
"CWE";7;"Coded with Exceptions";;"ch02a.html#Heading89";1
"CWE";8;"Coded with Exceptions";;"ch02a.html#Heading134";0
"CWE";9;"Coded with Exceptions";;"ch02a.html#Heading134";0
"CWE";10;"CWE";;"ch02A.html#Heading442";0
"CWE";60;"Coded with Exceptions";;"ch02A.html#Heading95";0
"CWE";61;"Coded with Exceptions";;"ch02a.html#Heading95";0
"CWE";81;"Coded with Exceptions";;"ch02a.html#Heading122";0
"CWE";91;"Coded with Exceptions";;"ch02a.html#Heading134";0
"CWE";92;"Coded with Exceptions";;"ch02a.html#Heading134";0
"CWE";630;"Coded with Exceptions";;;0
"CX";3;"extended composite ID with check digit";0;;0
"CX";4;"Extended composite ID with check digit";0;"ch2fin.html#Heading82";0
"CX";5;"Extended composite ID with check digit";;;0
"CX";6;"Extended Composite ID with Check Digit";;"ch02A.html#Heading106";0
"CX";7;"Extended Composite ID with Check Digit";;"ch02a.html#Heading100";1
"CX";8;"Extended Composite ID with Check Digit";;"ch02a.html#Heading158";0
"CX";9;"Extended Composite ID with Check Digit";;"ch02a.html#Heading158";0
"CX";10;"CX";;"ch02A.html#Heading465";0
"CX";60;"Extended Composite ID with Check Digit";;"ch02A.html#Heading106";0
"CX";61;"Extended Composite ID with Check Digit";;"ch02a.html#Heading106";0
"CX";81;"Extended Composite ID with Check Digit";;"ch02a.html#Heading145";0
"CX";91;"Extended Composite ID with Check Digit";;"ch02a.html#Heading158";0
"CX";92;"Extended Composite ID with Check Digit";;"ch02a.html#Heading158";0
"CX";530;"Extended Composite ID with Check Digit";;;0
"CX";630;;;;0
"DDI";4;"daily deductible";;;0
"DDI";5;"daily deductible";;;0
"DDI";6;"Daily Deductible Information";;"ch02A.html#Heading118";0
"DDI";7;"Daily Deductible Information";;"ch02a.html#Heading112";0
"DDI";8;"Daily Deductible Information";;"ch02a.html#Heading172";0
"DDI";9;"Daily Deductible Information";;"ch02a.html#Heading172";0
"DDI";10;"DDI";;"ch02A.html#Heading478";0
"DDI";60;"Daily Deductible Information";;"ch02A.html#Heading118";0
"DDI";61;"Daily Deductible Information";;"ch02a.html#Heading118";0
"DDI";81;"Daily Deductible Information";;"ch02a.html#Heading158";0
"DDI";91;"Daily Deductible Information";;"ch02a.html#Heading172";0
"DDI";92;"Daily Deductible Information";;"ch02a.html#Heading172";0
"DIN";4;"activation date";;;0
"DIN";5;"activation date";;;0
"DIN";6;"Date and Institution Name";;"ch02A.html#Heading123";0
"DIN";7;"Date and Institution Name";;"ch02a.html#Heading117";0
"DIN";8;"Date and Institution Name";;"ch02a.html#Heading177";0
"DIN";9;"Date and Institution Name";;"ch02a.html#Heading177";0
"DIN";10;"DIN";;"ch02A.html#Heading482";0
"DIN";60;"Date and Institution Name";;"ch02A.html#Heading123";0
"DIN";61;"Date and Institution Name";;"ch02a.html#Heading123";0
"DIN";81;"Date and Institution Name";;"ch02a.html#Heading162";0
"DIN";91;"Date and Institution Name";;"ch02a.html#Heading177";0
"DIN";92;"Date and Institution Name";;"ch02a.html#Heading177";0
"DLD";4;"discharge location";;;0
"DLD";5;"discharge location";;;0
"DLD";6;"Discharge Location and Date";;"ch02A.html#Heading127";0
"DLD";7;"Discharge to Location and Date";;"ch02a.html#Heading121";0
"DLD";8;"Discharge to Location and Date";;"ch02a.html#Heading181";0
"DLD";9;"Discharge to Location and Date";;"ch02a.html#Heading181";0
"DLD";10;"DLD";;"ch02A.html#Heading485";0
"DLD";60;"Discharge Location and Date";;"ch02A.html#Heading127";0
"DLD";61;"Discharge Location and Date";;"ch02a.html#Heading127";0
"DLD";81;"Discharge to Location and Date";;"ch02a.html#Heading165";0
"DLD";91;"Discharge to Location and Date";;"ch02a.html#Heading181";0
"DLD";92;"Discharge to Location and Date";;"ch02a.html#Heading181";0
"DLD";630;"Discharge to Location and Date";;;0
"DLN";3;"Driver’s license number";;;0
"DLN";4;"Driver’s license number";0;"ch2fin.html#Heading89";0
"DLN";5;"Driver’s license number";;;0
"DLN";6;"Driver_s License Number";;"ch02A.html#Heading131";0
"DLN";7;"Driver's License Number";;"ch02a.html#Heading125";0
"DLN";8;"Driver's License Number";;"ch02a.html#Heading185";0
"DLN";9;"Driver's License Number";;"ch02a.html#Heading185";0
"DLN";10;"DLN";;"ch02A.html#Heading488";0
"DLN";60;"Driver_s License Number";;"ch02A.html#Heading131";0
"DLN";61;"Driver's License Number";;"ch02a.html#Heading131";0
"DLN";81;"Driver's License Number";;"ch02a.html#Heading168";0
"DLN";91;"Driver's License Number";;"ch02a.html#Heading185";0
"DLN";92;"Driver's License Number";;"ch02a.html#Heading185";0
"DLT";4;"delta check";;;0
"DLT";5;"delta check";;;0
"DLT";6;"Delta";;"ch02A.html#Heading136";0
"DLT";7;"Delta";;"ch02a.html#Heading130";0
"DLT";8;"Delta";;"ch02a.html#Heading190";0
"DLT";9;"Delta";;"ch02a.html#Heading190";0
"DLT";10;"DLT";;"ch02A.html#Heading492";0
"DLT";60;"Delta";;"ch02A.html#Heading136";0
"DLT";61;"Delta";;"ch02a.html#Heading136";0
"DLT";81;"Delta";;"ch02a.html#Heading172";0
"DLT";91;"Delta";;"ch02a.html#Heading190";0
"DLT";92;"Delta";;"ch02a.html#Heading190";0
"DR";3;"Date/time range";;;0
"DR";4;"Date/time range";0;"ch2fin.html#Heading93";0
"DR";5;"Date/time range";;;0
"DR";6;"Date/Time Range";;"ch02A.html#Heading142";0
"DR";7;"Date/Time Range";;"ch02a.html#Heading136";1
"DR";8;"Date/Time Range";;"ch02a.html#Heading196";0
"DR";9;"Date/Time Range";;"ch02a.html#Heading196";0
"DR";10;"DR";;"ch02A.html#Heading497";0
"DR";60;"Date/Time Range";;"ch02A.html#Heading142";0
"DR";61;"Date/Time Range";;"ch02a.html#Heading142";0
"DR";81;"Date/Time Range";;"ch02a.html#Heading177";0
"DR";91;"Date/Time Range";;"ch02a.html#Heading196";0
"DR";92;"Date/Time Range";;"ch02a.html#Heading196";0
"DT";1;"DATE";8;;0
"DT";2;"DATE";8;;0
"DT";3;"DATE";;;0
"DT";4;"Date";0;"ch2fin.html#Heading96";0
"DT";5;"Date";;;0
"DT";6;"Date";;"ch02A.html#Heading146";0
"DT";7;"Date";;"ch02a.html#Heading140";0
"DT";8;"Date";;"ch02a.html#Heading200";0
"DT";9;"Date";;"ch02a.html#Heading200";0
"DT";10;"DT";;"ch02A.html#Heading500";0
"DT";20;"Date";;;0
"DT";60;"Date";;"ch02A.html#Heading146";0
"DT";61;"Date";;"ch02a.html#Heading146";0
"DT";81;"Date";;"ch02a.html#Heading180";0
"DT";91;"Date";;"ch02a.html#Heading200";0
"DT";92;"Date";;"ch02a.html#Heading200";0
"DT";540;"Date";;;0
"DTM";6;"Date/Time";;"ch02A.html#Heading147";0
"DTM";7;"Date/Time";;"ch02a.html#Heading141";0
"DTM";8;"Date/Time";;"ch02a.html#Heading201";0
"DTM";9;"Date/Time";;"ch02a.html#Heading201";0
"DTM";10;"DTM";;"ch02A.html#Heading501";0
"DTM";60;"Date/Time";;"ch02A.html#Heading147";0
"DTM";61;"Date/Time";;"ch02a.html#Heading147";0
"DTM";81;"Date/Time";;"ch02a.html#Heading181";0
"DTM";91;"Date/Time";;"ch02a.html#Heading201";0
"DTM";92;"Date/Time";;"ch02a.html#Heading201";0
"DTN";4;"Day Type and Number";;;0
"DTN";5;"Day Type and Number";;;0
"DTN";6;"Day Type and Number";;"ch02A.html#Heading148";0
"DTN";7;"Day Type and Number";;"ch02a.html#Heading142";0
"DTN";8;"Day Type and Number";;"ch02a.html#Heading202";0
"DTN";9;"Day Type and Number";;"ch02a.html#Heading202";0
"DTN";10;"DTN";;"ch02A.html#Heading502";0
"DTN";60;"Day Type and Number";;"ch02A.html#Heading148";0
"DTN";61;"Day Type and Number";;"ch02a.html#Heading148";0
"DTN";81;"Day Type and Number";;"ch02a.html#Heading182";0
"DTN";91;"Day Type and Number";;"ch02a.html#Heading202";0
"DTN";92;"Day Type and Number";;"ch02a.html#Heading202";0
"ED";3;"encapsulated data";0;;0
"ED";4;"Encapsulated data";0;"ch2fin.html#Heading97";0
"ED";5;"Encapsulated data";;;0
"ED";6;"Encapsulated Data";;"ch02A.html#Heading152";0
"ED";7;"Encapsulated Data";;"ch02a.html#Heading146";0
"ED";8;"Encapsulated Data";;"ch02a.html#Heading206";0
"ED";9;"Encapsulated Data";;"ch02a.html#Heading206";0
"ED";10;"ED";;"ch02A.html#Heading505";0
"ED";60;"Encapsulated Data";;"ch02A.html#Heading152";0
"ED";61;"Encapsulated Data";;"ch02a.html#Heading152";0
"ED";81;"Encapsulated Data";;"ch02a.html#Heading185";0
"ED";91;"Encapsulated Data";;"ch02a.html#Heading206";0
"ED";92;"Encapsulated Data";;"ch02a.html#Heading206";0
"EI";3;"entity identifier";0;;0
"EI";4;"Entity identifier";0;"ch2fin.html#Heading103";0
"EI";5;"Entity identifier";;;0
"EI";6;"Entity Identifier";;"ch02A.html#Heading159";0
"EI";7;"Entity Identifier";;"ch02a.html#Heading153";0
"EI";8;"Entity Identifier";;"ch02a.html#Heading213";0
"EI";9;"Entity Identifier";;"ch02a.html#Heading213";0
"EI";10;"EI";;"ch02A.html#Heading511";0
"EI";20;;;;0
"EI";60;"Entity Identifier";;"ch02A.html#Heading159";0
"EI";61;"Entity Identifier";;"ch02a.html#Heading159";0
"EI";81;"Entity Identifier";;"ch02a.html#Heading191";0
"EI";91;"Entity Identifier";;"ch02a.html#Heading213";0
"EI";92;"Entity Identifier";;"ch02a.html#Heading213";0
"EI";630;"Entity Identifier";;;0
"EIP";4;"parent order";;;0
"EIP";5;"parent order";;;0
"EIP";6;"Entity Identifier Pair";;"ch02A.html#Heading165";0
"EIP";7;"Entity Identifier Pair";;"ch02a.html#Heading159";0
"EIP";8;"Entity Identifier Pair";;"ch02a.html#Heading219";0
"EIP";9;"Entity Identifier Pair";;"ch02a.html#Heading219";0
"EIP";10;"EIP";;"ch02A.html#Heading516";0
"EIP";60;"Entity Identifier Pair";;"ch02A.html#Heading165";0
"EIP";61;"Entity Identifier Pair";;"ch02a.html#Heading165";0
"EIP";81;"Entity Identifier Pair";;"ch02a.html#Heading196";0
"EIP";91;"Entity Identifier Pair";;"ch02a.html#Heading219";0
"EIP";92;"Entity Identifier Pair";;"ch02a.html#Heading219";0
"ELD";4;"error";;;0
"ELD";5;"error";;;0
"ELD";6;"Error Location and Description";;"ch02A.html#Heading169";0
"ELD";7;"Error Location and Description";;"ch02a.html#Heading163";0
"ELD";60;"Error Location and Description";;"ch02A.html#Heading169";0
"ELD";61;"Error Location and Description";;"ch02a.html#Heading169";0
"ERL";6;"Error Location";;"ch02A.html#Heading175";0
"ERL";7;"Error Location";;"ch02a.html#Heading169";0
"ERL";8;"Error Location";;"ch02a.html#Heading224";0
"ERL";9;"Error Location";;"ch02a.html#Heading224";0
"ERL";10;"ERL";;"ch02A.html#Heading520";0
"ERL";60;"Error Location";;"ch02A.html#Heading175";0
"ERL";61;"Error Location";;"ch02a.html#Heading175";0
"ERL";81;"Error Location";;"ch02a.html#Heading200";0
"ERL";91;"Error Location";;"ch02a.html#Heading224";0
"ERL";92;"Error Location";;"ch02a.html#Heading224";0
"FC";3;"Financial class";;;0
"FC";4;"Financial class";0;"ch2fin.html#Heading108";0
"FC";5;"Financial class";;;0
"FC";6;"Financial Class";;"ch02A.html#Heading183";0
"FC";7;"Financial Class";;"ch02a.html#Heading177";0
"FC";8;"Financial Class";;"ch02a.html#Heading232";0
"FC";9;"Financial Class";;"ch02a.html#Heading232";0
"FC";10;"FC";;"ch02A.html#Heading527";0
"FC";60;"Financial Class";;"ch02A.html#Heading183";0
"FC";61;"Financial Class";;"ch02a.html#Heading183";0
"FC";81;"Financial Class";;"ch02a.html#Heading207";0
"FC";91;"Financial Class";;"ch02a.html#Heading232";0
"FC";92;"Financial Class";;"ch02a.html#Heading232";0
"FN";4;"Family Name";;;0
"FN";5;"familiy name";;;0
"FN";6;"Family Name";;"ch02A.html#Heading187";0
"FN";7;"Family Name";;"ch02a.html#Heading181";1
"FN";8;"Family Name";;"ch02a.html#Heading236";0
"FN";9;"Family Name";;"ch02a.html#Heading236";0
"FN";10;"FN";;"ch02A.html#Heading530";0
"FN";60;"Family Name";;"ch02A.html#Heading187";0
"FN";61;"Family Name";;"ch02a.html#Heading187";0
"FN";81;"Family Name";;"ch02a.html#Heading210";0
"FN";91;"Family Name";;"ch02a.html#Heading236";0
"FN";92;"Family Name";;"ch02a.html#Heading236";0
"FT";1;"FORMATTED TEXT";0;;0
"FT";2;"FORMATTED TEXT";0;;0
"FT";3;"formatted text";;;0
"FT";4;"Formatted text";0;"ch2fin.html#Heading111";0
"FT";5;"Formatted text";;;0
"FT";6;"Formatted Text Data";;"ch02A.html#Heading194";0
"FT";7;"Formatted Text Data";;"ch02a.html#Heading188";0
"FT";8;"Formatted Text Data";;"ch02a.html#Heading243";0
"FT";9;"Formatted Text Data";;"ch02a.html#Heading243";0
"FT";10;"FT";;"ch02A.html#Heading536";0
"FT";60;"Formatted Text Data";;"ch02A.html#Heading194";0
"FT";61;"Formatted Text Data";;"ch02a.html#Heading194";0
"FT";81;"Formatted Text Data";;"ch02a.html#Heading216";0
"FT";91;"Formatted Text Data";;"ch02a.html#Heading243";0
"FT";92;"Formatted Text Data";;"ch02a.html#Heading243";0
"GTS";6;"General Timing Specification";;"ch02A.html#Heading195";0
"GTS";7;"General Timing Specification";;"ch02a.html#Heading189";0
"GTS";8;"General Timing Specification";;"ch02a.html#Heading244";0
"GTS";9;"General Timing Specification";;"ch02a.html#Heading244";0
"GTS";10;"GTS";;"ch02A.html#Heading537";0
"GTS";60;"General Timing Specification";;"ch02A.html#Heading195";0
"GTS";61;"General Timing Specification";;"ch02a.html#Heading195";0
"GTS";81;"General Timing Specification";;"ch02a.html#Heading217";0
"GTS";91;"General Timing Specification";;"ch02a.html#Heading244";0
"GTS";92;"General Timing Specification";;"ch02a.html#Heading244";0
"HD";3;"hierarchic designator";0;;0
"HD";4;"Hierarchic designator";0;"ch2fin.html#Heading112";0
"HD";5;"Hierarchic designator";;;0
"HD";6;"Hierarchic Designator";;"ch02A.html#Heading196";0
"HD";7;"Hierarchic Designator";;"ch02a.html#Heading190";0
"HD";8;"Hierarchic Designator";;"ch02a.html#Heading245";0
"HD";9;"Hierarchic Designator";;"ch02a.html#Heading245";0
"HD";10;"HD";;"ch02A.html#Heading538";0
"HD";60;"Hierarchic Designator";;"ch02A.html#Heading196";0
"HD";61;"Hierarchic Designator";;"ch02a.html#Heading196";0
"HD";81;"Hierarchic Designator";;"ch02a.html#Heading218";0
"HD";91;"Hierarchic Designator";;"ch02a.html#Heading245";0
"HD";92;"Hierarchic Designator";;"ch02a.html#Heading245";0
"ICD";6;"Insurance Certification Definition";;"ch02A.html#Heading201";0
"ICD";7;"Insurance Certification Definition";;"ch02a.html#Heading195";0
"ICD";8;"Insurance Certification Definition";;"ch02a.html#Heading250";0
"ICD";9;"Insurance Certification Definition";;"ch02a.html#Heading250";0
"ICD";10;"ICD";;"ch02A.html#Heading542";0
"ICD";60;"Insurance Certification Definition";;"ch02A.html#Heading201";0
"ICD";61;"Insurance Certification Definition";;"ch02a.html#Heading201";0
"ICD";81;"Insurance Certification Definition";;"ch02a.html#Heading222";0
"ICD";91;"Insurance Certification Definition";;"ch02a.html#Heading250";0
"ICD";92;"Insurance Certification Definition";;"ch02a.html#Heading250";0
"ID";1;"CODED VALUE";0;;0
"ID";2;"CODED VALUE";0;;0
"ID";3;"CODED VALUE";;;0
"ID";4;"Coded values for HL7 tables";0;"ch2fin.html#Heading46";0
"ID";5;"Coded values for HL7 tables";;;0
"ID";6;"String Data";;"ch02A.html#Heading206";0
"ID";7;"Coded Value for HL7 Defined Tables";;"ch02a.html#Heading200";1
"ID";8;"Coded Value for HL7 Defined Tables";;"ch02a.html#Heading255";0
"ID";9;"Coded Value for HL7 Defined Tables";;"ch02a.html#Heading255";0
"ID";10;"ID";;"ch02A.html#Heading546";0
"ID";20;;;;0
"ID";60;"String Data";;"ch02A.html#Heading206";0
"ID";61;"String Data";;"ch02a.html#Heading206";0
"ID";81;"Coded Value for HL7 Defined Tables";;"ch02a.html#Heading226";0
"ID";91;"Coded Value for HL7 Defined Tables";;"ch02a.html#Heading255";0
"ID";92;"Coded Value for HL7 Defined Tables";;"ch02a.html#Heading255";0
"ID";540;"Coded Value for HL7 Defined Tables";;;0
"ID";630;;;;0
"IS";3;"Coded value for user-defined tables";;;0
"IS";4;"Coded value for user-defined tables";0;"ch2fin.html#Heading117";0
"IS";5;"Coded value for user-defined tables";;;0
"IS";6;"String Data";;"ch02A.html#Heading207";0
"IS";7;"Coded Value for User-Defined Tables";;"ch02a.html#Heading201";1
"IS";8;"Coded Value for User-Defined Tables";;"ch02a.html#Heading256";0
"IS";9;"Coded Value for User-Defined Tables";;"ch02a.html#Heading256";0
"IS";10;"IS";;"ch02A.html#Heading547";0
"IS";20;;;;0
"IS";60;"String Data";;"ch02A.html#Heading207";0
"IS";61;"String Data";;"ch02a.html#Heading207";0
"IS";81;"Coded Value for User-Defined Tables";;"ch02a.html#Heading227";0
"IS";91;"Coded Value for User-Defined Tables";;"ch02a.html#Heading256";0
"IS";92;"Coded Value for User-Defined Tables";;"ch02a.html#Heading256";0
"IS";530;"Coded Value for User-Defined Tables";;;0
