"message_structure";"version_id";"description";"example_event";"example_msg_type";"action";"section";"anchor";"owl_gen"
"EHC_E15";91;"Payment/Remittance Advice";;;;"16.3.9";"ch16.html#Heading14";0
"EHC_E15";92;"Payment/Remittance Advice";;;;"16.3.9";"ch16.html#Heading14";0
"EHC_E20";7;"Submit Authorization Request";;;;"16.3.10";"ch16.html#Heading15";0
"EHC_E20";8;"Submit Authorization Request";;;;"16.3.10";"ch16.html#Heading15";0
"EHC_E20";9;"Submit Authorization Request";;;;"16.3.10";"ch16.html#Heading15";0
"EHC_E20";10;"Submit Authorization Request";;;;"16.3.10";"ch16.html#Heading4761";0
"EHC_E20";81;"Submit Authorization Request";;;;"16.3.10";"ch16.html#Heading15";0
"EHC_E20";91;"Submit Authorization Request";;;;"16.3.10";"ch16.html#Heading15";0
"EHC_E20";92;"Submit Authorization Request";;;;"16.3.10";"ch16.html#Heading15";0
"EHC_E21";7;"Cancel Authorization Request";;;;"16.3.11";"ch16.html#Heading16";0
"EHC_E21";8;"Cancel Authorization Request";;;;"16.3.11";"ch16.html#Heading16";0
"EHC_E21";9;"Cancel Authorization Request";;;;"16.3.11";"ch16.html#Heading16";0
"EHC_E21";10;"Cancel Authorization Request";;;;"16.3.11";"ch16.html#Heading4762";0
"EHC_E21";81;"Cancel Authorization Request";;;;"16.3.11";"ch16.html#Heading16";0
"EHC_E21";91;"Cancel Authorization Request";;;;"16.3.11";"ch16.html#Heading16";0
"EHC_E21";92;"Cancel Authorization Request";;;;"16.3.11";"ch16.html#Heading16";0
"EHC_E24";7;"Authorization Response";;;;"16.3.14";"ch16.html#Heading19";0
"EHC_E24";8;"Authorization Response";;;;"16.3.14";"ch16.html#Heading19";0
"EHC_E24";9;"Authorization Response";;;;"16.3.14";"ch16.html#Heading19";0
"EHC_E24";10;"Authorization Response";;;;"16.3.14";"ch16.html#Heading4765";0
"EHC_E24";81;"Authorization Response";;;;"16.3.14";"ch16.html#Heading19";0
"EHC_E24";91;"Authorization Response";;;;"16.3.14";"ch16.html#Heading19";0
"EHC_E24";92;"Authorization Response";;;;"16.3.14";"ch16.html#Heading19";0
"EQQ_Q01";3;;"Q01";"EQQ";;;;0
"EQQ_Q04";4;;"Q04";"EQQ";;;;0
"EQQ_Q04";5;;;;;"5";;0
